"","Entity","Code","Day","restrictions_internal_movements"
"611","Mexico","MEX","2021-09-02",2
"612","Mexico","MEX","2021-09-03",2
"613","Mexico","MEX","2021-09-04",2
"614","Mexico","MEX","2021-09-05",2
"615","Mexico","MEX","2021-09-06",2
"616","Mexico","MEX","2021-09-07",2
"617","Mexico","MEX","2021-09-08",2
"618","Mexico","MEX","2021-09-09",2
"619","Mexico","MEX","2021-09-10",2
"620","Mexico","MEX","2021-09-11",2
"621","Mexico","MEX","2021-09-12",2
"622","Mexico","MEX","2021-09-13",2
"623","Mexico","MEX","2021-09-14",2
"624","Mexico","MEX","2021-09-15",2
"625","Mexico","MEX","2021-09-16",2
"626","Mexico","MEX","2021-09-17",2
"627","Mexico","MEX","2021-09-18",2
"628","Mexico","MEX","2021-09-19",2
"629","Mexico","MEX","2021-09-20",2
"630","Mexico","MEX","2021-09-21",2
"631","Mexico","MEX","2021-09-22",2
"632","Mexico","MEX","2021-09-23",2
"633","Mexico","MEX","2021-09-24",2
"634","Mexico","MEX","2021-09-25",2
"635","Mexico","MEX","2021-09-26",2
"636","Mexico","MEX","2021-09-27",2
"637","Mexico","MEX","2021-09-28",2
"638","Mexico","MEX","2021-09-29",2
"639","Mexico","MEX","2021-09-30",2
"640","Mexico","MEX","2021-10-01",2
"641","Mexico","MEX","2021-10-02",2
"642","Mexico","MEX","2021-10-03",2
"643","Mexico","MEX","2021-10-04",2
"644","Mexico","MEX","2021-10-05",2
"645","Mexico","MEX","2021-10-06",2
"646","Mexico","MEX","2021-10-07",2
"647","Mexico","MEX","2021-10-08",2
"648","Mexico","MEX","2021-10-09",2
"649","Mexico","MEX","2021-10-10",2
"650","Mexico","MEX","2021-10-11",2
"651","Mexico","MEX","2021-10-12",2
"652","Mexico","MEX","2021-10-13",2
"653","Mexico","MEX","2021-10-14",2
"654","Mexico","MEX","2021-10-15",2
"655","Mexico","MEX","2021-10-16",2
"656","Mexico","MEX","2021-10-17",2
"657","Mexico","MEX","2021-10-18",2
"658","Mexico","MEX","2021-10-19",2
"659","Mexico","MEX","2021-10-20",2
"660","Mexico","MEX","2021-10-21",2
